cards,players,position,stack_min,stack_max,result
q9s,3,BTN,10,15,MINRAISEFOLD
q8s,3,BTN,10,15,FOLD
q7s,3,BTN,10,15,FOLD
q6s,3,BTN,10,15,FOLD
q5s,3,BTN,10,15,FOLD
q4s,3,BTN,10,15,FOLD
q3s,3,BTN,10,15,FOLD
q2s,3,BTN,10,15,FOLD
ajo,3,BTN,10,15,ALLIN
kjo,3,BTN,10,15,MINRAISEALL
qjo,3,BTN,10,15,MINRAISEFOLD
jj,3,BTN,10,15,MINRAISEALL
jts,3,BTN,10,15,MINRAISEFOLD
j9s,3,BTN,10,15,MINRAISEFOLD
j8s,3,BTN,10,15,FOLD
j7s,3,BTN,10,15,FOLD
j6s,3,BTN,10,15,FOLD
j5s,3,BTN,10,15,FOLD
j4s,3,BTN,10,15,FOLD
j3s,3,BTN,10,15,FOLD
j2s,3,BTN,10,15,FOLD
ato,3,BTN,10,15,ALLIN
kto,3,BTN,10,15,MINRAISEFOLD
qto,3,BTN,10,15,MINRAISEFOLD
jto,3,BTN,10,15,MINRAISEFOLD
tt,3,BTN,10,15,MINRAISEALL
t9s,3,BTN,10,15,MINRAISEFOLD
t8s,3,BTN,10,15,FOLD
t7s,3,BTN,10,15,FOLD
t6s,3,BTN,10,15,FOLD
t5s,3,BTN,10,15,FOLD
t4s,3,BTN,10,15,FOLD
t3s,3,BTN,10,15,FOLD
t2s,3,BTN,10,15,FOLD
a9o,3,BTN,10,15,ALLIN
k9o,3,BTN,10,15,FOLD
q9o,3,BTN,10,15,FOLD
j9o,3,BTN,10,15,FOLD
t9o,3,BTN,10,15,FOLD
99,3,BTN,10,15,ALLIN
98s,3,BTN,10,15,FOLD
97s,3,BTN,10,15,FOLD
96s,3,BTN,10,15,FOLD
95s,3,BTN,10,15,FOLD
94s,3,BTN,10,15,FOLD
93s,3,BTN,10,15,FOLD
92s,3,BTN,10,15,FOLD
a8o,3,BTN,10,15,ALLIN
k8o,3,BTN,10,15,FOLD
q8o,3,BTN,10,15,FOLD
j8o,3,BTN,10,15,FOLD
t8o,3,BTN,10,15,FOLD
